City,Date,Time,Temperature (°C),Weather,Humidity (%),Pressure (hPa),Wind Speed (m/s),Cloudiness (%)
Paris,2025-05-28,09:05:03,14.3,overcast clouds,90,1018,5.14,100
Tokyo,2025-05-28,09:08:50,24.52,broken clouds,47,1017,5.66,75
Los Angeles,2025-05-28,09:11:26,17.11,clear sky,81,1015,1.6,4
Paris,2025-05-28,10:00:04,14.47,overcast clouds,90,1018,4.63,100
London,2025-05-28,10:00:50,14.74,broken clouds,81,1012,7.2,75
Dubai,2025-05-28,10:01:00,33.96,clear sky,38,1002,2.57,4
Los Angeles,2025-05-28,10:01:16,16.18,overcast clouds,84,1015,2.57,100
Muscat,2025-05-28,10:02:26,36.05,few clouds,27,1001,3.83,15
Tokyo,2025-05-28,10:03:08,24.51,few clouds,46,1017,5.14,20
Riyadh,2025-05-28,10:10:04,36.94,scattered clouds,8,1005,5.3,38
London,2025-05-28,11:00:09,15.47,scattered clouds,81,1013,5.43,28
Tokyo,2025-05-28,11:00:47,23.53,broken clouds,44,1018,5.38,55
Los Angeles,2025-05-28,11:00:51,16.54,clear sky,78,1015,1.77,1
Paris,2025-05-28,11:02:51,15.14,overcast clouds,91,1019,5.0,100
Dubai,2025-05-28,11:04:51,37.16,few clouds,30,1001,3.36,11
Riyadh,2025-05-28,11:05:17,38.54,clear sky,8,1005,5.79,0
Muscat,2025-05-28,11:05:58,36.37,clear sky,33,1001,4.23,1
London,2025-05-28,12:00:09,16.47,scattered clouds,73,1014,8.23,40
Los Angeles,2025-05-28,12:00:11,16.18,overcast clouds,85,1015,2.57,100
Dubai,2025-05-28,12:01:19,37.96,clear sky,23,1001,2.06,8
Tokyo,2025-05-28,12:04:13,22.84,broken clouds,54,1018,6.17,75
Muscat,2025-05-28,12:05:24,36.54,clear sky,35,1001,5.78,1
Paris,2025-05-28,12:06:07,15.71,overcast clouds,90,1020,5.14,100
Riyadh,2025-05-28,12:08:25,40.01,clear sky,7,1005,6.34,0
Muscat,2025-05-29,09:03:50,36.91,overcast clouds,29,1001,2.59,100
London,2025-05-29,09:00:40,14.02,light rain,80,1019,4.72,100
Paris,2025-05-29,08:55:11,11.74,overcast clouds,85,1024,1.59,99
Riyadh,2025-05-29,08:58:53,34.55,clear sky,9,1005,3.55,0
Dubai,2025-05-29,08:55:48,35.98,broken clouds,40,1001,0.94,52
Tokyo,2025-05-29,09:05:22,22.49,overcast clouds,48,1017,4.42,100
Los Angeles,2025-05-29,09:06:39,17.06,clear sky,81,1015,2.07,1
Muscat,2025-05-29,09:03:50,36.91,overcast clouds,29,1001,2.59,100
London,2025-05-29,09:00:40,14.02,light rain,80,1019,4.72,100
Paris,2025-05-29,08:55:11,11.74,overcast clouds,85,1024,1.59,99
Riyadh,2025-05-29,08:58:53,34.55,clear sky,9,1005,3.55,0
Dubai,2025-05-29,08:55:48,35.98,broken clouds,40,1001,0.94,52
Tokyo,2025-05-29,09:05:22,22.49,overcast clouds,48,1017,4.42,100
Los Angeles,2025-05-29,09:06:39,17.06,clear sky,81,1015,2.07,1
Muscat,2025-05-29,09:57:58,37.64,overcast clouds,27,1001,3.23,100
London,2025-05-29,09:51:34,13.59,overcast clouds,86,1018,3.6,100
Paris,2025-05-29,09:53:30,12.93,clear sky,88,1025,1.54,0
Riyadh,2025-05-29,09:56:39,36.47,clear sky,8,1005,3.87,0
Dubai,2025-05-29,09:58:36,38.96,clear sky,27,1001,1.03,0
Tokyo,2025-05-29,09:55:06,23.01,light rain,55,1016,3.6,0
Los Angeles,2025-05-29,09:52:28,16.41,overcast clouds,81,1015,3.09,100
Muscat,2025-05-29,10:53:49,36.45,overcast clouds,25,1001,3.97,99
London,2025-05-29,10:59:03,14.94,overcast clouds,88,1018,4.63,100
Paris,2025-05-29,10:50:52,15.24,clear sky,80,1025,2.06,0
Riyadh,2025-05-29,11:00:08,38.23,clear sky,7,1005,3.86,0
Dubai,2025-05-29,10:53:24,40.96,clear sky,15,1000,2.57,0
Tokyo,2025-05-29,10:56:53,22.44,light rain,57,1017,4.12,100
Los Angeles,2025-05-29,10:55:42,16.48,overcast clouds,81,1015,2.06,100
Muscat,2025-05-29,11:53:58,37.09,overcast clouds,27,1000,3.6,94
London,2025-05-29,11:50:05,16.56,broken clouds,86,1018,5.14,75
Paris,2025-05-29,11:59:03,17.12,clear sky,68,1025,4.12,0
Riyadh,2025-05-29,12:00:09,40.1,clear sky,6,1004,4.58,0
Dubai,2025-05-29,11:56:17,43.96,clear sky,12,1000,3.09,0
Tokyo,2025-05-29,11:52:22,21.38,overcast clouds,62,1016,4.12,100
Los Angeles,2025-05-29,11:52:35,16.38,overcast clouds,81,1015,2.06,100
Muscat,2025-05-29,12:58:26,37.34,overcast clouds,26,1000,3.04,96
London,2025-05-29,12:52:44,18.45,overcast clouds,82,1018,5.67,100
Paris,2025-05-29,12:58:33,19.64,overcast clouds,57,1025,2.79,100
Riyadh,2025-05-29,12:57:53,41.18,clear sky,5,1003,3.28,0
Dubai,2025-05-29,12:54:31,39.47,clear sky,31,999,6.25,0
Tokyo,2025-05-29,12:56:43,20.72,light rain,53,1016,4.02,100
Los Angeles,2025-05-29,12:57:24,16.73,broken clouds,78,1014,2.21,57
Muscat,2025-05-29,13:57:09,37.03,overcast clouds,30,999,2.48,96
London,2025-05-29,13:53:34,19.67,overcast clouds,76,1018,5.59,100
Paris,2025-05-29,13:50:51,21.16,overcast clouds,56,1024,3.09,98
Riyadh,2025-05-29,13:59:33,41.96,clear sky,5,1002,1.6,0
Dubai,2025-05-29,13:50:30,39.03,clear sky,35,999,6.95,0
Tokyo,2025-05-29,13:57:45,20.21,light rain,56,1016,4.74,100
Los Angeles,2025-05-29,14:00:10,16.57,scattered clouds,79,1014,1.74,45
Muscat,2025-05-30,13:22:29,37.8,scattered clouds,31,1000,4.6,46
London,2025-05-30,13:33:18,19.66,clear sky,72,1019,3.13,1
Paris,2025-05-30,13:29:43,23.68,few clouds,63,1022,2.06,20
Riyadh,2025-05-30,13:29:39,38.83,scattered clouds,7,1006,4.41,45
Dubai,2025-05-30,13:26:09,38.96,clear sky,30,999,5.66,0
Tokyo,2025-05-30,13:21:06,15.4,moderate rain,90,1008,8.23,75
Los Angeles,2025-05-30,13:33:57,16.46,clear sky,81,1012,0.0,0
Muscat,2025-05-30,13:22:29,37.8,scattered clouds,31,1000,4.6,46
London,2025-05-30,13:33:18,19.66,clear sky,72,1019,3.13,1
Paris,2025-05-30,13:29:43,23.68,few clouds,63,1022,2.06,20
Riyadh,2025-05-30,13:29:39,38.83,scattered clouds,7,1006,4.41,45
Dubai,2025-05-30,13:26:09,38.96,clear sky,30,999,5.66,0
Tokyo,2025-05-30,13:21:06,15.4,moderate rain,90,1008,8.23,75
Los Angeles,2025-05-30,13:33:57,16.46,clear sky,81,1012,0.0,0
Muscat,2025-05-30,13:58:00,37.76,scattered clouds,33,999,3.68,34
London,2025-05-30,13:48:57,20.23,few clouds,69,1019,4.02,20
Paris,2025-05-30,13:56:17,24.5,clear sky,61,1022,2.06,0
Riyadh,2025-05-30,13:56:32,39.49,broken clouds,7,1005,3.56,58
Dubai,2025-05-30,13:57:06,39.96,clear sky,31,999,5.66,0
Tokyo,2025-05-30,13:56:16,15.86,broken clouds,85,1008,9.26,75
Los Angeles,2025-05-30,13:51:28,16.37,clear sky,81,1012,0.0,0
Muscat,2025-05-30,15:00:08,38.78,scattered clouds,34,999,2.93,40
London,2025-05-30,14:52:56,21.94,broken clouds,64,1019,4.63,75
Paris,2025-05-30,14:59:08,25.83,clear sky,56,1021,3.6,0
Riyadh,2025-05-30,14:59:30,39.63,overcast clouds,6,1004,1.38,98
Dubai,2025-05-30,14:57:51,39.96,clear sky,21,999,6.69,0
Tokyo,2025-05-30,14:54:03,16.0,light rain,86,1009,9.77,75
Los Angeles,2025-05-30,14:56:43,16.39,clear sky,84,1012,2.06,0
Muscat,2025-05-30,15:57:06,39.02,scattered clouds,35,999,2.08,34
London,2025-05-30,15:58:23,23.08,broken clouds,58,1018,4.12,75
Paris,2025-05-30,15:56:03,27.16,clear sky,51,1020,3.6,0
Riyadh,2025-05-30,15:56:25,39.91,broken clouds,6,1003,0.34,84
Dubai,2025-05-30,15:50:58,39.96,clear sky,25,998,6.69,0
Tokyo,2025-05-30,15:52:13,15.32,broken clouds,89,1009,9.26,75
Los Angeles,2025-05-30,15:51:09,16.32,clear sky,84,1011,3.09,0
Muscat,2025-05-30,16:57:28,37.3,clear sky,34,998,0.84,7
London,2025-05-30,16:53:24,23.76,broken clouds,56,1018,5.36,75
Paris,2025-05-30,16:55:47,28.28,clear sky,49,1020,3.6,0
Riyadh,2025-05-30,16:56:22,40.09,clear sky,5,1003,0.81,5
Dubai,2025-05-30,16:52:26,37.96,clear sky,30,998,6.69,0
Tokyo,2025-05-30,16:57:43,15.44,moderate rain,88,1007,8.75,75
Los Angeles,2025-05-30,16:59:35,16.79,clear sky,82,1013,4.63,0
Muscat,2025-05-30,17:56:32,39.55,clear sky,25,997,2.53,9
London,2025-05-30,17:56:39,24.08,broken clouds,55,1018,4.63,75
Paris,2025-05-30,17:57:04,29.62,clear sky,45,1019,3.09,0
Riyadh,2025-05-30,17:55:41,39.81,clear sky,5,1003,1.31,0
Dubai,2025-05-30,17:59:49,36.96,clear sky,39,998,5.66,0
Tokyo,2025-05-30,17:55:42,15.72,broken clouds,83,1007,9.77,75
Los Angeles,2025-05-30,17:53:05,17.01,clear sky,84,1014,5.14,0
Muscat,2025-05-30,18:55:32,39.71,clear sky,27,998,0.87,8
London,2025-05-30,18:55:01,24.12,broken clouds,54,1018,4.63,75
Paris,2025-05-30,18:55:55,29.74,clear sky,43,1019,3.6,0
Riyadh,2025-05-30,18:55:36,39.23,clear sky,6,1003,1.44,1
Dubai,2025-05-30,18:53:45,35.96,clear sky,46,998,4.12,0
Tokyo,2025-05-30,18:53:45,16.06,broken clouds,79,1007,8.23,75
Los Angeles,2025-05-30,18:53:44,18.38,broken clouds,80,1015,5.66,75
Muscat,2025-05-30,19:59:33,38.69,clear sky,31,999,2.86,8
London,2025-05-30,19:55:12,24.23,scattered clouds,55,1017,4.12,40
Paris,2025-05-30,19:57:07,30.3,clear sky,42,1018,5.14,0
Riyadh,2025-05-30,19:54:54,37.25,clear sky,6,1004,2.16,4
Dubai,2025-05-30,19:49:08,34.96,clear sky,46,999,4.12,0
Tokyo,2025-05-30,19:47:11,16.35,broken clouds,75,1006,9.26,75
Los Angeles,2025-05-30,19:58:56,18.99,overcast clouds,80,1015,4.63,100
Muscat,2025-05-30,20:56:00,37.16,clear sky,39,999,3.6,9
London,2025-05-30,20:52:48,23.6,broken clouds,59,1018,3.09,75
Paris,2025-05-30,20:57:09,29.66,clear sky,42,1018,5.14,0
Riyadh,2025-05-30,20:59:49,35.8,clear sky,8,1005,4.43,5
Dubai,2025-05-30,20:47:20,34.96,clear sky,46,1000,2.06,0
Tokyo,2025-05-30,20:50:16,15.91,broken clouds,74,1006,8.75,75
Los Angeles,2025-05-30,20:59:40,20.59,broken clouds,75,1015,3.09,75
Muscat,2025-05-30,22:00:08,35.14,clear sky,33,999,2.67,8
London,2025-05-30,21:56:52,22.98,scattered clouds,61,1018,3.6,40
Paris,2025-05-30,21:59:06,29.38,clear sky,44,1018,3.6,0
Riyadh,2025-05-30,21:55:02,34.16,few clouds,10,1006,6.44,15
Dubai,2025-05-30,21:52:43,34.96,clear sky,46,1000,1.54,0
Tokyo,2025-05-30,21:49:19,15.9,light rain,74,1005,10.29,75
Los Angeles,2025-05-30,21:56:08,23.35,few clouds,67,1015,2.57,20
Muscat,2025-05-30,22:56:08,36.21,clear sky,26,999,2.24,2
London,2025-05-30,22:48:59,22.07,broken clouds,65,1018,4.63,75
Paris,2025-05-30,22:52:10,28.33,clear sky,47,1018,3.09,0
Riyadh,2025-05-30,22:59:21,32.74,overcast clouds,11,1006,7.09,87
Dubai,2025-05-30,22:56:41,33.96,clear sky,49,1000,2.57,0
Tokyo,2025-05-30,22:47:19,15.9,light rain,75,1005,9.77,75
Los Angeles,2025-05-30,22:55:44,26.71,clear sky,56,1014,3.6,0
Muscat,2025-05-31,00:00:08,35.22,clear sky,20,998,2.48,4
London,2025-05-30,23:53:23,20.9,broken clouds,69,1018,4.12,75
Paris,2025-05-31,00:00:09,26.12,clear sky,55,1018,1.54,0
Riyadh,2025-05-30,23:57:32,31.48,overcast clouds,12,1007,6.08,96
Dubai,2025-05-30,23:52:48,32.96,clear sky,52,1000,2.06,0
Tokyo,2025-05-30,23:50:44,15.74,moderate rain,75,1005,8.75,75
Los Angeles,2025-05-30,23:57:44,28.49,clear sky,50,1014,4.12,0
Muscat,2025-05-31,00:57:58,33.64,clear sky,34,999,1.72,3
London,2025-05-31,00:51:01,19.85,overcast clouds,72,1018,3.09,100
Paris,2025-05-31,00:58:06,24.16,clear sky,63,1019,1.03,0
