City,Date,Time,Temperature (°C),Weather,Humidity (%),Pressure (hPa),Wind Speed (m/s),Cloudiness (%)
Dubai,2025-05-31,15:50:32,37.96,clear sky,41,1001,5.66,0
Tokyo,2025-05-31,15:55:27,16.65,broken clouds,75,999,8.75,75
Los Angeles,2025-05-31,15:54:31,16.77,haze,89,1013,2.57,75
Muscat,2025-05-31,16:58:03,38.36,clear sky,30,999,3.39,5
London,2025-05-31,16:49:24,25.23,few clouds,50,1016,3.13,20
Paris,2025-05-31,16:58:42,25.32,light rain,70,1017,2.57,0
Riyadh,2025-05-31,16:50:26,39.43,broken clouds,6,1007,0.77,58
Dubai,2025-05-31,16:54:36,36.96,clear sky,41,1000,5.66,0
Tokyo,2025-05-31,16:53:10,16.64,broken clouds,74,999,6.17,75
Los Angeles,2025-05-31,16:59:33,16.09,mist,93,1014,2.06,100
